Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Roller Coaster,Yexian Park,Steel,32.9,65.6,0,2673.9,0,No
Roller Coaster,Zorky's Planet,Steel,21.8,19,0,410.1,0,No
Rockstar Coaster,Fun Spot USA,Steel,29.1,42.7,0,1377.9,90,No
Riddler's Revenge,Six Flags Magic Mountain,Steel,65,156,146,4370,180,Yes
Rewind Racers,Adventure City,Steel,31.1,39.3,0,593.8,0,No
Red Fire,ViaSea,Steel,68.4,180.4,0,3215.3,0,Yes
Rattler,Six Flags Fiesta Texas,Wood,73,179.5,166.5,5080,146,No
Raptor,Gardaland,Steel,55.9,108.3,0,2526.3,90,Yes
Rainier Rush,Washington State Fair,Steel,45,63,0,1775,0,Yes
Raging Bull,Six Flags Great America,Steel,73,202,208,5057,150,No
Polar X-plorer,Legoland Billund,Steel,40.4,65.6,0,1633.8,0,No
Phantom's Revenge,Kennywood Park,Steel,82,160,228,3200,0,No
Parrot Coaster,Chimelong Ocean Kingdom,Steel,67.1,164.1,0,4192.9,0,Yes
Outlaw Run,Silver Dollar City,Wood,68,107,162,2937,87,Yes
Orient Express,Worlds of Fun,Steel,65,117,115,3470,150,Yes
Oblivion - The Black Hole,Gardaland,Steel,62.1,139.4,0,1856.9,0,Yes
Oblivion,Alton Towers,Steel,68,65,180,1222,0,No
Nitro,Six Flags Great Adventure,Steel,80,230,215,5394,240,No
Nitro,Adlabs Imagica,Steel,65.2,132,0,2800,150,Yes
New Mexico Rattler,Cliff's Amusement Park,Wood,47,80,75,2750,75,No
Motorbike Roller Coaster,Happy World,Steel,44.7,47.1,0,1960.7,0,No
Monster,Walygator Parc,Steel,55.9,131.3,0,3937,148,Yes
Mind Eraser,Six Flags America,Steel,55,115,95,2170,125,Yes
Millennium Force,Cedar Point,Steel,93,310,300,6595,165,No
Mega-Lite,Happy Valley,Steel,52.8,101.7,98.4,2477,0,No
Medusa,Six Flags Marine World,Steel,65,150,150,3937,195,Yes
Mean Streak,Cedar Point,Wood,65,161,155,5427,193,No
Max Speed,Suzhou Amusement Land,Steel,49.7,147.7,114.8,876,100,Yes
Maskerade,Wiener Prater,Steel,25.5,32.8,0,774.3,0,No
Manta,SeaWorld Orlando,Steel,56,140,113,3359,155,Yes
Manhattan Express,"New York, New York Hotel & Casino",Steel,67,203,144,4777,160,Yes
Mamba,Worlds of Fun,Steel,75,205,205,5600,180,No
Magnum XL-200,Cedar Point,Steel,72,205,194.6,5106,120,No
Magic Ring Vertical Coaster,Chuanlord Holiday Manor,Steel,65.3,151.6,0,590.6,0,Yes
LEGO TECHNIC Test Track,Legoland Florida,Steel,35,51.8,49.8,1312.3,95,No
Kraken,SeaWorld Orlando,Steel,65,149,144,4177,219,Yes
Kong,Six Flags Marine World,Steel,55,115,95,2170,125,Yes
Kid's Roller Coaster,Vinpearl Land,Steel,21.7,27.9,0,679.2,0,No
Karacho,Erlebnispark Tripsdrill,Steel,62.1,98.4,0,2296.6,0,Yes
Jurassic Coaster,Parc du Bocasse,Steel,29.1,42.7,0,1377.9,90,No
Junker,PowerLand,Steel,64.9,131.3,0,2821.5,0,Yes
Jungle Trailblazer,Oriental Heritage,Wood,55.3,106.2,0,3218.5,150,Yes
iSpeed,Mirabilandia,Steel,74.6,180.4,0,3280.8,0,Yes
Iron Wolf,Six Flags Great America,Steel,55,100,90,2900,120,Yes
Iron Shark,Galveston Island Historic Pleasure Pier,Steel,52,100,0,1246,60,Yes
Iron Rattler,Six Flags Fiesta Texas,Steel,70,179,171,3266,0,Yes
Invertigo,Paramount's Great America,Steel,55,138,138,985,90,Yes
Intimidator 305,Kings Dominion,Steel,90,305,300,5100,180,No
Intimidator,Carowinds,Steel,75,232,211,5316,213,No
Insider,Wiener Prater,Steel,22.4,36.4,0,984.3,68,No
Insane,Grsna Lund,Steel,37.3,116.5,0,820.3,0,No
Inertia Airplane Car,Kaeson Youth Park,Steel,25.7,50,0,1282.8,0,Yes
Incredible Hulk,Universal Studios Islands of Adventure,Steel,67,110,105,3700,135,Yes
